time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-08-07T19:52:19.080Z,51.877,-175.341,10,3.4,ml,7,141.3,,1.4,us,usp000ge42,2019-02-13T09:44:59.120Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,aeic
2008-08-07T19:51:52.547Z,52.2756,-175.5141,14.4,2.9,ml,,,,0.83,ak,ak008a45umpi,2019-02-13T09:42:59.031Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2008-08-07T19:46:32.520Z,52.195,-175.3696,6.5,3.1,ml,,,,0.5,ak,ak008a45til0,2019-02-13T09:42:58.225Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2008-08-07T19:40:36.370Z,52.143,-175.408,10,4.3,mb,12,139.2,,1.15,us,usp000ge40,2019-02-13T09:42:56.990Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,1,reviewed,us,us
2008-08-07T19:38:08.544Z,52.2119,-175.5173,6.2,3.2,ml,,,,0.76,ak,ak008a45rr06,2019-02-13T09:42:56.568Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2008-08-07T19:36:58.070Z,52.119,-175.423,10,3,ml,6,142,,1.48,us,usp000ge3z,2019-02-28T20:02:41.962Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,aeic
2008-08-07T19:31:20.610Z,52.023,-175.579,10,3.4,ml,12,139.3,,1.46,us,usp000ge3x,2019-02-13T09:42:57.412Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,aeic
2008-08-07T19:22:38.546Z,51.996,-175.3424,4.8,2.9,ml,,,,0.72,ak,ak008a45odv2,2019-02-13T09:44:28.856Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,2.9,,,reviewed,ak,ak
2008-08-07T19:20:45.148Z,52.2023,-175.4711,20.6,2.8,ml,,,,0.45,ak,ak008a45nyxu,2019-02-13T09:44:29.691Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,1,,,reviewed,ak,ak
2008-08-07T19:17:28.886Z,52.2366,-175.3988,15.7,3,ml,,,,0.54,ak,ak008a45najc,2019-02-13T09:42:55.732Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2008-08-07T19:12:40.655Z,52.1007,-175.4602,4.9,2.7,ml,,,,0.85,ak,ak008a45m8v5,2019-02-13T09:42:55.318Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2008-08-07T19:10:57.936Z,52.1,-175.46,4.8,2.9,ml,,,,0.81,ak,ak008a45lurl,2019-02-13T09:44:28.411Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2008-08-07T19:09:09.445Z,52.1863,-175.4666,8.1,2.8,ml,,,,0.61,ak,ak008a45ljb4,2019-02-13T09:44:27.981Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2008-08-07T18:52:00.326Z,52.0922,-175.3993,4.7,2.9,ml,,,,0.8,ak,ak008a459asg,2019-02-13T09:42:54.557Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2008-08-07T18:44:51.424Z,52.1785,-175.4847,13.2,2.5,ml,,,,0.67,ak,ak008a457p06,2019-02-13T09:44:25.656Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,65.9,,,reviewed,ak,ak
2008-08-07T18:41:36.517Z,52.1027,-175.4698,13.3,2.5,ml,,,,0.82,ak,ak008a4570pf,2019-02-13T09:44:26.824Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,249,,,reviewed,ak,ak
2008-08-07T18:37:48.480Z,52.072,-175.58,10,3.6,ml,8,188.7,,1.47,us,usp000ge3v,2019-02-13T09:42:54.113Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,aeic
2008-08-07T18:36:24.085Z,52.2316,-175.3775,6.7,2.9,ml,,,,0.4,ak,ak008a455x60,2019-02-13T09:44:26.090Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2008-08-07T18:30:03.070Z,52.19,-175.651,12,5.8,mwc,431,33.3,,1.19,us,usp000ge3t,2019-02-13T09:42:53.193Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,us
2008-08-07T18:29:29.120Z,52.1008,-175.4717,6.7,4.2,ml,,,,0.84,ak,ak008a454fjk,2019-02-13T09:42:53.669Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2008-08-07T18:22:32.302Z,52.099,-175.456,4.8,2.9,ml,,,,0.59,ak,ak008a452xry,2019-02-13T09:42:52.763Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2008-08-07T18:18:42.100Z,52.097,-175.522,10,3.4,ml,14,175.4,,1.27,us,usp000ge3r,2019-02-13T09:42:52.418Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,aeic
2008-08-07T18:16:10.560Z,52.092,-175.509,10,4.3,ml,10,141.1,,1.4,us,usp000ge3q,2019-02-13T09:42:51.959Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,pmr
2008-08-07T18:08:29.720Z,52.116,-175.414,10,2.9,ml,6,142.3,,0.84,us,usp000ge3n,2019-02-13T09:42:51.196Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,aeic
2008-08-07T17:56:53.570Z,52.214,-175.578,10,4.2,mb,21,134.9,,1.13,us,usp000ge3m,2019-02-13T09:44:21.843Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,3,reviewed,us,us
2008-08-07T17:56:13.120Z,51.97,-175.483,10,3,ml,8,141.2,,1.22,us,usp000ge3k,2019-02-13T09:42:50.218Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,,reviewed,us,aeic
2008-08-07T17:35:14.990Z,52.1407,-175.4775,18.2,2.6,ml,,,,0.44,ak,ak008a44k957,2019-02-13T09:44:20.726Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2008-08-07T17:34:24.023Z,52.1,-175.4601,4.7,3.2,ml,,,,0.81,ak,ak008a44k24i,2019-02-13T09:44:20.334Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2008-08-07T17:28:14.578Z,52.1027,-175.4539,4.9,2.8,ml,,,,0.64,ak,ak008a44ir3l,2019-02-28T20:02:40.440Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.8,,,reviewed,ak,ak
2008-08-07T17:26:54.049Z,52.1096,-175.4509,4.8,2.6,ml,,,,0.78,ak,ak008a44iepo,2019-02-13T09:42:48.241Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2008-08-07T17:20:53.842Z,52.0981,-175.4692,4.8,2.5,ml,,,,0.5,ak,ak008a44h4eg,2019-02-13T09:42:47.082Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2008-08-07T17:08:15.016Z,52.2085,-175.4647,13.3,2.6,ml,,,,0.59,ak,ak008a44egt9,2019-02-13T09:45:16.427Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,47,,,reviewed,ak,ak
2008-08-07T17:04:11.756Z,52.099,-175.4585,13.5,3.1,ml,,,,0.54,ak,ak008a44dlp3,2019-02-13T09:42:45.997Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,0.3,,,reviewed,ak,ak
